usuario,location,latitud,longitud
prefecturaLoja,"Loja, Ecuador",-3.99313,-79.20422
ipquis92,"Zambi, Catamayo, Loja, Ecuador",-3.94235,-79.50905
cecibelriverab,"Puerto Bolívar, Machala, El Oro, Ecuador",-3.26649,-79.99749
ComisariaPCatam,"Catamayo, Loja, Ecuador",-4,-79.36667
rene5254,"Portoviejo, Manabí, Ecuador",-1.05458,-80.45445
PatoNaranjoR,"Catamayo, Loja, Ecuador",-4,-79.36667
JSMARTINEZG,Ecuador,-1.25,-78.25
miltonlab,"Loja, Ecuador",-3.99313,-79.20422
mcarrera776,"Loja, Ecuador",-3.99313,-79.20422
estebansar,"Loja, Ecuador",-3.99313,-79.20422
plustv25,"Loja, Ecuador",-3.99313,-79.20422
Lalofloresca,"Loja, Ecuador",-3.99313,-79.20422
EncontextoL,"Loja, Ecuador",-3.99313,-79.20422
240581Miguel,"Calvas, Loja, Ecuador",-4.31667,-79.56667
luisfjaramillo1,"Loja, Ecuador",-3.99313,-79.20422
JxmeSalgado,Ecuador,-1.25,-78.25
cuxibamba,"Loja, Ecuador",-3.99313,-79.20422
GabrielaRomn13,"Loja, Ecuador",-3.99313,-79.20422
ECU911Loja,"Loja, Ecuador",-3.99313,-79.20422
